"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1113)","1,570,779,000","14.8"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1114)","103,259,000","33.3"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1119)","185,902,000","16.9"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (11192)","18,851,000","34.4"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (11193 & 11194 & 11199)","167,050,000","19.4"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (112111)","5,564,000","8.5"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (112112)","459,000","41.6"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (11212)","63,318,000","6.4"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1122)","72,000","95.7"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1123)","1,021,000","23.2"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1124)","1,066,000","7.6"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1125 & 1129)","1,518,000","29.0"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","2,806,374,000","11.7"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","594,350,000","11.4"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (1.0 TO 9.9 ACRES)","114,941,000","8.4"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","287,876,000","7.9"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","122,258,000","8.3"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)","96,314,000","10.5"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (180 TO 219 ACRES)","91,471,000","11.0"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (2,000 OR MORE ACRES)","1,053,077,000","13.4"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (220 TO 259 ACRES)","95,139,000","9.2"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (260 TO 499 ACRES)","434,164,000","5.0"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)","73,774,000","15.8"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (500 TO 999 ACRES)","496,232,000","13.9"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)","112,358,000","14.7"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (1,000 TO 2,499 $)","13,764,000","17.9"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (1,000,000 OR MORE $)","2,783,919,000","8.6"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (10,000 TO 24,999 $)","41,218,000","12.9"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (100,000 TO 249,999 $)","144,447,000","7.3"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (2,500 TO 4,999 $)","15,847,000","12.9"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (25,000 TO 49,999 $)","49,243,000","13.3"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (250,000 TO 499,999 $)","159,431,000","31.0"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (5,000 TO 9,999 $)","22,755,000","14.4"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (50,000 TO 99,999 $)","70,771,000","14.6"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (500,000 TO 999,999 $)","210,236,000","17.7"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (LESS THAN 1,000 $)","60,323,000","11.6"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","EXPENSE","EXPENSE: (1,000 TO 4,999 $)","33,391,000","8.0"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","EXPENSE","EXPENSE: (10,000 TO 24,999 $)","138,275,000","4.7"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","EXPENSE","EXPENSE: (100,000 OR MORE $)","2,937,757,000","7.7"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","EXPENSE","EXPENSE: (25,000 OR MORE $)","3,347,899,000","7.0"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","EXPENSE","EXPENSE: (25,000 TO 49,999 $)","168,711,000","4.7"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","EXPENSE","EXPENSE: (5,000 TO 9,999 $)","49,840,000","7.9"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","EXPENSE","EXPENSE: (50,000 TO 99,999 $)","241,431,000","5.5"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","EXPENSE","EXPENSE: (500 TO 999 $)","1,801,000","5.4"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","EXPENSE","EXPENSE: (LESS THAN 500 $)","748,000","8.2"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (1,000 TO 2,499 $)","13,792,000","18.5"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (1,000,000 OR MORE $)","2,776,659,000","8.6"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (10,000 TO 24,999 $)","41,648,000","14.3"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (100,000 TO 249,999 $)","146,031,000","7.2"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (2,500 TO 4,999 $)","15,685,000","11.5"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (25,000 TO 49,999 $)","50,158,000","13.9"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (250,000 TO 499,999 $)","160,110,000","31.0"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (5,000 TO 9,999 $)","22,594,000","16.4"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (50,000 TO 99,999 $)","72,446,000","13.7"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (500,000 TO 999,999 $)","208,317,000","17.3"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","FARM SALES","FARM SALES: (LESS THAN 1,000 $)","64,514,000","11.8"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1111)","95,477,000","27.8"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1112)","415,497,000","19.5"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1113)","1,861,369,000","9.7"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1114)","189,291,000","34.3"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","DEPRECIATION","DEPRECIATION - EXPENSE, MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1119)","261,615,000","19.3"
